,kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,publish_date,viewcount_loganpaul
299,youtube#playlistItem,Ed4_uE6uZIwnsw0bJNImrlLHJd0,VVVHOHJiRjNnMkFNWDcweU9kOHZxSVpnLlpEeVN3TElGSHZr,2017-12-03T20:24:49Z,UCG8rbF3g2AMX70yOd8vqIZg,THE BRAND NEW MAVERICK MERCH STORE!,"Join the movement. Be a Maverick ► https://ShopLoganPaul.com/ Damn. We’ve done it again. SUBSCRIBE FOR DAILY VLOGS! ► http://bit.ly/Subscribe2Logan  Music: Pierce Fulton: https://soundcloud.com/piercefulton/listen-to-your-mama  Allta: SPOTIFY : http://bit.ly/spotifyalltta FACEBOOK : https://www.facebook.com/allttamusic INSTAGRAM: https://www.instagram.com/allttamusic TWITTER : https://twitter.com/allttamusic   Watch Yesterday’s Vlog  ► https://youtu.be/HFCfYCewHuA  ADD ME ON: INSTAGRAM: https://www.instagram.com/LoganPaul/ TWITTER: https://twitter.com/LoganPaul  Wanna see more of Armani? Check out my boiii:  https://www.youtube.com/izadiparty https://www.instagram.com/izadiparty  I’m a 22 year old kid living in Los Angeles. I make comedy vids, travel a lot, I have a pretty colorful parrot named Maverick and a savage dog named Kong. This is my life. https://www.youtube.com/LoganPaulVlogs",Logan Paul,UUG8rbF3g2AMX70yOd8vqIZg,298,youtube#video,ZDySwLIFHvk,Logan Paul,UCG8rbF3g2AMX70yOd8vqIZg,2017-12-03,5440343
300,youtube#playlistItem,vkK8Q0TUpcusM2k_CoOOvPLoSaI,VVVHOHJiRjNnMkFNWDcweU9kOHZxSVpnLkhGQ2ZZQ2V3SHVB,2017-12-02T20:42:07Z,UCG8rbF3g2AMX70yOd8vqIZg,REACTING TO JAKE PAUL’S NEW CHRISTMAS ALBUM! **he lied to you**,"Join the movement. Be a Maverick ► https://ShopLoganPaul.com/ UR A LIAR SUBSCRIBE FOR DAILY VLOGS! ► http://bit.ly/Subscribe2Logan  Music by: AllttA SPOTIFY : http://bit.ly/spotifyalltta FACEBOOK : https://www.facebook.com/allttamusic INSTAGRAM: https://www.instagram.com/allttamusic TWITTER : https://twitter.com/allttamusic  Watch Yesterday’s Vlog  ► https://youtu.be/ylazwobLaW0  Here’s the Jeep on eBay lololol: https://www.ebay.com/itm/1986-Jeep-Wagoneer/263357947010  ADD ME ON: INSTAGRAM: https://www.instagram.com/LoganPaul/ TWITTER: https://twitter.com/LoganPaul  I’m a 22 year old kid living in Los Angeles. I make comedy vids, travel a lot, I have a pretty colorful parrot named Maverick and a savage dog named Kong. This is my life. https://www.youtube.com/LoganPaulVlogs",Logan Paul,UUG8rbF3g2AMX70yOd8vqIZg,299,youtube#video,HFCfYCewHuA,Logan Paul,UCG8rbF3g2AMX70yOd8vqIZg,2017-12-02,6396523
301,youtube#playlistItem,kZAWvD5Xp1EWdlTcBluM2-O0DPk,VVVHOHJiRjNnMkFNWDcweU9kOHZxSVpnLnlsYXp3b2JMYVcw,2017-12-01T21:30:19Z,UCG8rbF3g2AMX70yOd8vqIZg,24-HOUR OVERNIGHT CHALLENGE INSIDE AN IGLOO! **disaster**,"Join the movement. Be a Maverick ► https://ShopLoganPaul.com/ SUBSCRIBE FOR DAILY VLOGS! ► http://bit.ly/Subscribe2Logan  Watch Yesterday’s Vlog  ► https://youtu.be/u1A6tAwycLc  ADD ME ON: INSTAGRAM: https://www.instagram.com/LoganPaul/ TWITTER: https://twitter.com/LoganPaul  I’m a 22 year old kid living in Los Angeles. I make comedy vids, travel a lot, I have a pretty colorful parrot named Maverick and a savage dog named Kong. This is my life. https://www.youtube.com/LoganPaulVlogs",Logan Paul,UUG8rbF3g2AMX70yOd8vqIZg,300,youtube#video,ylazwobLaW0,Logan Paul,UCG8rbF3g2AMX70yOd8vqIZg,2017-12-01,7718105
302,youtube#playlistItem,zdVLG1ZGB_DxjXT50bchQHVvOuA,VVVHOHJiRjNnMkFNWDcweU9kOHZxSVpnLnUxQTZ0QXd5Y0xj,2017-11-30T20:55:59Z,UCG8rbF3g2AMX70yOd8vqIZg,LIVING INSIDE A HOMEMADE IGLOO! **snow fort**,"Join the movement. Be a Maverick ► https://ShopLoganPaul.com/ Who's doing it?! SUBSCRIBE FOR DAILY VLOGS! ► http://bit.ly/Subscribe2Logan  Music by: Too Many T's https://open.spotify.com/track/772LkykxLyZzREC6q7junp  Watch Yesterday’s Vlog  ► https://youtu.be/6fh48QPyL1A  ADD ME ON: INSTAGRAM: https://www.instagram.com/LoganPaul/ TWITTER: https://twitter.com/LoganPaul  I’m a 22 year old kid living in Los Angeles. I make comedy vids, travel a lot, I have a pretty colorful parrot named Maverick and a savage dog named Kong. This is my life. https://www.youtube.com/LoganPaulVlogs",Logan Paul,UUG8rbF3g2AMX70yOd8vqIZg,301,youtube#video,u1A6tAwycLc,Logan Paul,UCG8rbF3g2AMX70yOd8vqIZg,2017-11-30,5765173
303,youtube#playlistItem,arw72NoP4RHctdT7U1vG2-QA_Po,VVVHOHJiRjNnMkFNWDcweU9kOHZxSVpnLjZmaDQ4UVB5TDFB,2017-11-29T21:38:29Z,UCG8rbF3g2AMX70yOd8vqIZg,"WE BROUGHT $11,000 SNOW TO CALIFORNIA! **60,000 pounds**","Join the movement. Be a Maverick ► https://ShopLoganPaul.com/ WHO’S DOING IT?! SUBSCRIBE FOR DAILY VLOGS! ► http://bit.ly/Subscribe2Logan  Watch Yesterday’s Vlog  ► https://youtu.be/qXgA58T6tms  ADD ME ON: INSTAGRAM: https://www.instagram.com/LoganPaul/ TWITTER: https://twitter.com/LoganPaul  I’m a 22 year old kid living in Los Angeles. I make comedy vids, travel a lot, I have a pretty colorful parrot named Maverick and a savage dog named Kong. This is my life. https://www.youtube.com/LoganPaulVlogs",Logan Paul,UUG8rbF3g2AMX70yOd8vqIZg,302,youtube#video,6fh48QPyL1A,Logan Paul,UCG8rbF3g2AMX70yOd8vqIZg,2017-11-29,6553137
304,youtube#playlistItem,AH5IpJP8YWdtsBBwIBnJs3HsKjU,VVVHOHJiRjNnMkFNWDcweU9kOHZxSVpnLjVlWUR1cnEzUDhZ,2017-11-27T20:00:58Z,UCG8rbF3g2AMX70yOd8vqIZg,OUR HAIR IS GONE!,"[LAST DAY] CYBER MONDAY SALE - 20% OFF ALL MAVERICK MERCH GO GO► https://ShopLoganPaul.com/ SUBSCRIBE FOR DAILY VLOGS! ► http://bit.ly/Subscribe2Logan  Music: https://soundcloud.com/theseigemusic/rage  Watch Yesterday’s Vlog  ► https://youtu.be/UwQbnUjf0Cw  ADD ME ON: INSTAGRAM: https://www.instagram.com/LoganPaul/ TWITTER: https://twitter.com/LoganPaul  I’m a 22 year old kid living in Los Angeles. I make comedy vids, travel a lot, I have a pretty colorful parrot named Maverick and a savage dog named Kong. This is my life. https://www.youtube.com/LoganPaulVlogs",Logan Paul,UUG8rbF3g2AMX70yOd8vqIZg,303,youtube#video,5eYDurq3P8Y,Logan Paul,UCG8rbF3g2AMX70yOd8vqIZg,2017-11-27,13895518
305,youtube#playlistItem,A7Dh4h6BOEKPR35FWoln9T-yce0,VVVHOHJiRjNnMkFNWDcweU9kOHZxSVpnLlV3UWJuVWpmMEN3,2017-11-26T19:43:14Z,UCG8rbF3g2AMX70yOd8vqIZg,MY ASSISTANT GOT PREGNANT IN MY HOUSE!,"[LAST 2 DAYS] 20% Off Discount on Maverick Merch go get yours! ► https://ShopLoganPaul.com/ What the hell Lydia SUBSCRIBE FOR DAILY VLOGS! ► http://bit.ly/Subscribe2Logan  Too Many T’s  God Save The T''s  - https://youtu.be/ejQTc6Q_yDE T’s Website - http://toomanyts.com  Watch Yesterday’s Vlog  ► https://youtu.be/jMHv3gM0Tdk  ADD ME ON: INSTAGRAM: https://www.instagram.com/LoganPaul/ TWITTER: https://twitter.com/LoganPaul  I’m a 22 year old kid living in Los Angeles. I make comedy vids, travel a lot, I have a pretty colorful parrot named Maverick and a savage dog named Kong. This is my life. https://www.youtube.com/LoganPaulVlogs",Logan Paul,UUG8rbF3g2AMX70yOd8vqIZg,304,youtube#video,UwQbnUjf0Cw,Logan Paul,UCG8rbF3g2AMX70yOd8vqIZg,2017-11-26,17650900
306,youtube#playlistItem,fL8bBQTCdltWsi0z_h6aH5OUcMo,VVVHOHJiRjNnMkFNWDcweU9kOHZxSVpnLmpNSHYzZ00wVGRr,2017-11-25T19:46:35Z,UCG8rbF3g2AMX70yOd8vqIZg,MY NEXT DISS TRACK! **enemy**,"[DISCOUNT] 20% OFF Maverick Merch only 3 more days GO GO GO ► https://ShopLoganPaul.com/ Y’all ain’t ready for this one.  SUBSCRIBE FOR DAILY VLOGS! ► http://bit.ly/Subscribe2Logan  Watch Yesterday’s Vlog  ► https://youtu.be/-Vynnd_xOZk  ADD ME ON: INSTAGRAM: https://www.instagram.com/LoganPaul/ TWITTER: https://twitter.com/LoganPaul  I’m a 22 year old kid living in Los Angeles. I make comedy vids, travel a lot, I have a pretty colorful parrot named Maverick and a savage dog named Kong. This is my life. https://www.youtube.com/LoganPaulVlogs",Logan Paul,UUG8rbF3g2AMX70yOd8vqIZg,305,youtube#video,jMHv3gM0Tdk,Logan Paul,UCG8rbF3g2AMX70yOd8vqIZg,2017-11-25,5478233
307,youtube#playlistItem,67AuMytKxGkXhHjC05vxmGNjjFA,VVVHOHJiRjNnMkFNWDcweU9kOHZxSVpnLi1WeW5uZF94T1pr,2017-11-24T20:03:33Z,UCG8rbF3g2AMX70yOd8vqIZg,REACTING TO JAKE PAUL’S “EVERYDAY BRO REMIX!”,"[BLACK FRIDAY SALE] 20% OFF Maverick Merch discount GO GO GO ► https://ShopLoganPaul.com/ SUBSCRIBE FOR DAILY VLOGS! ► http://bit.ly/Subscribe2Logan  [WATCH & LIKE] “No Handlebars” Music Video: https://youtu.be/wLRczTm3hAY  Savage ""Outta My Hair"" Cover https://www.youtube.com/watch?v=ANbRUiGcqh8  Watch Yesterday’s Vlog  ► https://youtu.be/rJnMo6oxoQ4  ADD ME ON: INSTAGRAM: https://www.instagram.com/LoganPaul/ TWITTER: https://twitter.com/LoganPaul  I’m a 22 year old kid living in Los Angeles. I make comedy vids, travel a lot, I have a pretty colorful parrot named Maverick and a savage dog named Kong. This is my life. https://www.youtube.com/LoganPaulVlogs",Logan Paul,UUG8rbF3g2AMX70yOd8vqIZg,306,youtube#video,-Vynnd_xOZk,Logan Paul,UCG8rbF3g2AMX70yOd8vqIZg,2017-11-24,9202258
308,youtube#playlistItem,_EU4mNOoEXUySMp07zS2NDdU23M,VVVHOHJiRjNnMkFNWDcweU9kOHZxSVpnLnJKbk1vNm94b1E0,2017-11-23T18:50:32Z,UCG8rbF3g2AMX70yOd8vqIZg,THE DEATH OF LOGAN PAUL.,"[NEW] 20% OFF DISCOUNT ENTIRE MAVERICK MERCH SHOP GO GO ► https://ShopLoganPaul.com/ He live a good life.  SUBSCRIBE FOR DAILY VLOGS! ► http://bit.ly/Subscribe2Logan  [WATCH] “No Handlebars” Music Video: https://youtu.be/wLRczTm3hAY  Watch Yesterday’s Vlog  ► https://youtu.be/fl1yRTFmru0  ADD ME ON: INSTAGRAM: https://www.instagram.com/LoganPaul/ TWITTER: https://twitter.com/LoganPaul  I’m a 22 year old kid living in Los Angeles. I make comedy vids, travel a lot, I have a pretty colorful parrot named Maverick and a savage dog named Kong. This is my life. https://www.youtube.com/LoganPaulVlogs",Logan Paul,UUG8rbF3g2AMX70yOd8vqIZg,307,youtube#video,rJnMo6oxoQ4,Logan Paul,UCG8rbF3g2AMX70yOd8vqIZg,2017-11-23,12271531
